feature
f001_total_chars
f004_ws_over_C
f013_hapax_ratio
f022_entropy_wordfreq
f025_single_quotes
f034_total_sentences
f043_num_nouns
f046_num_adverbs
f055_noun_to_verb_ratio
f064_num_nominatives
f067_num_singular
f076_num_passive_sentences
f085_sent_len_variance
f088_sem_sim_sentences
f097_bert_sim_tokens
f106_tanween_freq
f109_link_freq
tfidf_features
